ClusterNumber	ClusterRepresentative
1	AP019692.1.fa
2	AP020330.1.fa
3	AP020332.1.fa
4	CP004027.1.fa
5	CP049310.1.fa
6	CP044181.1.fa
7	CP028314.1.fa
8	CP039496.1.fa
9	CP006055.1.fa
10	CP039713.1.fa
11	CP007216.2.fa
12	CP040646.1.fa
13	CP033345.1.fa
14	CP029039.1.fa
15	CP007531.1.fa
16	CP007532.1.fa
17	CP007533.1.fa
18	CP012833.1.fa
19	CP025555.1.fa
20	CP009561.1.fa
21	CP009565.1.fa
22	CP025230.1.fa
23	CP041208.1.fa
24	CP015024.2.fa
25	CP011365.1.fa
26	CP063708.1.fa
27	CP019196.1.fa
28	CP035547.1.fa
29	CP012151.1.fa
30	CP012344.2.fa
31	CP012346.1.fa
32	CP012347.1.fa
33	CP012349.1.fa
34	CP012597.1.fa
35	CP012599.1.fa
36	CP032494.1.fa
37	CP041005.1.fa
38	CP014356.1.fa
39	CP039576.1.fa
40	CP014620.1.fa
41	CP014621.2.fa
42	CP014659.2.fa
43	CP014661.1.fa
44	CP014663.2.fa
45	CP014664.1.fa
46	CP014665.1.fa
47	CP014983.1.fa
48	CP025736.1.fa
49	CP041026.1.fa
50	CP014996.1.fa
51	CP015574.1.fa
52	CP015724.1.fa
53	CP015923.1.fa
54	CP015924.1.fa
55	CP019404.1.fa
56	CP025243.1.fa
57	CP016014.1.fa
58	CP016357.1.fa
59	CP052837.1.fa
60	CP016837.1.fa
61	CP041184.1.fa
62	CP017720.1.fa
63	CP017723.1.fa
64	CP017727.1.fa
65	CP040380.1.fa
66	CP017971.1.fa
67	CP017972.1.fa
68	CP017974.1.fa
69	CP017975.1.fa
70	CP037893.1.fa
71	CP017978.1.fa
72	CP019035.1.fa
73	CP019116.1.fa
74	CP019206.1.fa
75	CP019174.1.fa
76	CP019177.1.fa
77	CP019178.1.fa
78	CP063756.1.fa
79	CP019181.1.fa
80	CP019183.1.fa
81	CP019184.1.fa
82	CP019185.1.fa
83	CP019186.1.fa
84	CP019189.1.fa
85	CP019192.1.fa
86	CP019197.1.fa
87	CP019198.1.fa
88	CP019201.1.fa
89	CP019202.1.fa
90	CP019405.1.fa
91	CP019406.1.fa
92	CP019408.1.fa
93	CP019409.1.fa
94	CP019410.1.fa
95	CP019411.1.fa
96	CP019412.1.fa
97	CP019413.1.fa
98	CP019414.1.fa
99	CP019416.1.fa
100	CP019417.1.fa
101	CP022497.1.fa
102	CP039599.1.fa
103	CP045947.1.fa
104	CP020492.1.fa
105	CP020565.1.fa
106	CP020718.1.fa
107	CP044198.1.fa
108	CP060165.1.fa
109	CP022015.1.fa
110	CP022034.1.fa
111	CP022069.2.fa
112	CP022116.1.fa
113	CP022117.1.fa
114	CP022138.1.fa
115	CP022168.1.fa
116	CP022489.1.fa
117	CP034773.1.fa
118	CP022491.1.fa
119	CP022494.1.fa
120	CP022500.1.fa
121	CP022503.1.fa
122	CP045063.1.fa
123	CP022663.1.fa
124	CP022963.1.fa
125	CP023166.1.fa
126	CP023508.1.fa
127	CP023512.1.fa
128	CP024168.1.fa
129	CP024165.1.fa
130	CP025094.1.fa
131	CP025217.1.fa
132	CP034232.1.fa
133	CP025232.1.fa
134	CP025246.1.fa
135	CP025248.1.fa
136	CP025276.1.fa
137	CP032817.1.fa
138	CP025280.1.fa
139	CP025452.1.fa
140	CP025453.1.fa
141	CP026327.1.fa
142	CP039279.1.fa
143	CP026609.1.fa
144	CP052777.1.fa
145	CP027677.1.fa
146	CP050779.1.fa
147	CP033340.1.fa
148	CP028169.1.fa
149	CP033360.1.fa
150	CP028196.1.fa
151	CP028729.1.fa
152	CP028900.1.fa
153	CP033344.1.fa
154	CP029038.1.fa
155	CP029041.1.fa
156	CP029486.1.fa
157	CP045949.1.fa
158	CP030029.1.fa
159	CP030749.1.fa
160	CP030936.1.fa
161	CP032194.1.fa
162	CP032444.1.fa
163	CP032449.1.fa
164	CP032816.1.fa
165	CP039856.1.fa
166	CP033343.1.fa
167	CP033348.2.fa
168	CP034233.1.fa
169	CP034719.1.fa
170	CP038847.1.fa
171	CP063330.1.fa
172	CP036166.1.fa
173	CP036167.1.fa
174	CP036168.1.fa
175	CP044957.1.fa
176	CP037891.1.fa
177	CP037894.1.fa
178	CP037917.1.fa
179	CP062225.1.fa
180	CP038233.1.fa
181	CP038595.1.fa
182	CP038601.1.fa
183	CP039270.1.fa
184	CP039277.1.fa
185	CP039436.1.fa
186	CP039437.1.fa
187	CP039572.1.fa
188	CP039585.1.fa
189	CP039854.1.fa
190	CP040318.1.fa
191	CP040562.1.fa
192	CP051267.1.fa
193	CP040900.1.fa
194	CP042438.1.fa
195	CP042440.1.fa
196	CP042441.1.fa
197	CP042442.1.fa
198	CP042443.1.fa
199	CP043027.1.fa
200	CP043222.1.fa
201	CP043509.1.fa
202	CP043662.1.fa
203	CP046429.1.fa
204	CP044177.1.fa
205	CP044184.1.fa
206	CP044186.1.fa
207	CP044188.1.fa
208	CP045038.1.fa
209	CP045444.1.fa
210	CP045518.1.fa
211	CP045464.1.fa
212	CP045831.1.fa
213	CP045945.1.fa
214	CP045952.1.fa
215	CP045954.1.fa
216	CP045955.1.fa
217	CP045956.1.fa
218	CP045958.1.fa
219	CP046277.1.fa
220	CP046278.1.fa
221	CP046279.1.fa
222	CP046280.1.fa
223	CP046291.1.fa
224	CP048301.1.fa
225	CP049981.1.fa
226	CP049312.1.fa
227	CP049313.1.fa
228	CP049873.1.fa
229	CP049874.1.fa
230	CP049882.1.fa
231	CP049986.1.fa
232	CP050734.1.fa
233	CP050739.1.fa
234	CP050764.1.fa
235	CP050769.1.fa
236	CP050783.1.fa
237	CP050833.1.fa
238	CP050968.1.fa
239	CP050990.1.fa
240	CP052775.1.fa
241	CP052796.1.fa
242	CP053870.1.fa
243	CP054897.1.fa
244	CP054901.1.fa
245	CP060134.1.fa
246	CP060508.1.fa
247	CP062004.1.fa
248	CP061049.1.fa
249	CP062220.1.fa
250	CP063705.1.fa
