ClusterNumber	ClusterRepresentative
1	CP039279.1.fa
2	CP043662.1.fa
3	CP029038.1.fa
4	CP038233.1.fa
5	CP012921.1.fa
6	CP061050.1.fa
7	CP006053.1.fa
8	CP044186.1.fa
9	CP007216.2.fa
10	CP040646.1.fa
11	CP033345.1.fa
12	CP029039.1.fa
13	CP014620.1.fa
14	CP007532.1.fa
15	CP045444.1.fa
16	CP012833.1.fa
17	CP041208.1.fa
18	CP025454.1.fa
19	CP025278.1.fa
20	CP063708.1.fa
21	CP019196.1.fa
22	CP030936.1.fa
23	CP012344.2.fa
24	CP019412.1.fa
25	CP012349.1.fa
26	CP014051.2.fa
27	CP039576.1.fa
28	CP042438.1.fa
29	CP045945.1.fa
30	CP015724.1.fa
31	CP016014.1.fa
32	CP016406.1.fa
33	CP019184.1.fa
34	CP049986.1.fa
35	CP017727.1.fa
36	CP020752.1.fa
37	CP037893.1.fa
38	CP017978.1.fa
39	CP019116.1.fa
40	CP019206.1.fa
41	CP063330.1.fa
42	CP025280.1.fa
43	CP063756.1.fa
44	CP019181.1.fa
45	CP019183.1.fa
46	CP023508.1.fa
47	CP020718.1.fa
48	CP037891.1.fa
49	CP033344.1.fa
50	CP019201.1.fa
51	CP019405.1.fa
52	CP019409.1.fa
53	CP019410.1.fa
54	CP025276.1.fa
55	CP019413.1.fa
56	CP019414.1.fa
57	CP019417.1.fa
58	CP022497.1.fa
59	CP045947.1.fa
60	CP020492.1.fa
61	CP022015.1.fa
62	CP022034.1.fa
63	CP038595.1.fa
64	CP022116.1.fa
65	CP022117.1.fa
66	CP022138.1.fa
67	CP034773.1.fa
68	CP022494.1.fa
69	CP022500.1.fa
70	CP022503.1.fa
71	CP045063.1.fa
72	CP022663.1.fa
73	CP023512.1.fa
74	CP024165.1.fa
75	CP037917.1.fa
76	CP026609.1.fa
77	CP027677.1.fa
78	CP033360.1.fa
79	CP044177.1.fa
80	CP028900.1.fa
81	CP029041.1.fa
82	CP032444.1.fa
83	CP060132.1.fa
84	CP034233.1.fa
85	CP036166.1.fa
86	CP044184.1.fa
87	CP062225.1.fa
88	CP039437.1.fa
89	CP042441.1.fa
90	CP042443.1.fa
91	CP043027.1.fa
92	CP043509.1.fa
93	CP045831.1.fa
94	CP046277.1.fa
95	CP046291.1.fa
96	CP049873.1.fa
97	CP050968.1.fa
98	CP050990.1.fa
99	CP054897.1.fa
100	CP062220.1.fa
