ClusterNumber	ClusterRepresentative
1	CP039279.1.fa
2	CP043662.1.fa
3	CP029038.1.fa
4	CP019412.1.fa
5	CP012921.1.fa
6	CP061050.1.fa
7	CP006053.1.fa
8	CP044186.1.fa
9	CP007216.2.fa
10	CP063708.1.fa
11	CP033345.1.fa
12	CP029039.1.fa
13	CP014620.1.fa
14	CP045444.1.fa
15	CP012833.1.fa
16	CP041208.1.fa
17	CP025454.1.fa
18	CP025278.1.fa
19	CP019196.1.fa
20	CP030936.1.fa
21	CP012344.2.fa
22	CP042438.1.fa
23	CP039576.1.fa
24	CP045945.1.fa
25	CP043564.1.fa
26	CP045063.1.fa
27	CP016406.1.fa
28	CP019184.1.fa
29	CP022491.1.fa
30	CP020752.1.fa
31	CP037893.1.fa
32	CP063330.1.fa
33	CP063756.1.fa
34	CP062225.1.fa
35	CP023508.1.fa
36	CP033344.1.fa
37	CP019201.1.fa
38	CP026609.1.fa
39	CP049873.1.fa
40	CP025276.1.fa
41	CP045947.1.fa
42	CP033348.2.fa
43	CP038595.1.fa
44	CP034773.1.fa
45	CP037917.1.fa
46	CP027677.1.fa
47	CP033360.1.fa
48	CP044177.1.fa
49	CP028900.1.fa
50	CP044184.1.fa
